id,publish_date,headline_category,headline_text
203,20010104,unknown,Mental illness can pass from parent to child
204,20010104,unknown,Cholera outbreak source traced
205,20010104,unknown,'Mathematics permeates human civilisation'
206,20010104,unknown,Bangla Oppn leader issues 'fatwa' against judges
207,20010104,unknown,Bangladesh govt asks for Hamoodur Rahman report
208,20010104,unknown,Bangladesh 'scrutinising' citizen's death in US embassy
209,20010104,unknown,Hollywood posts record 9th year of box office gains
210,20010104,unknown,Great loss to Indian racing
211,20010104,unknown,The saga of Usha Stud Farm
212,20010104,unknown,Red Radior wins Victory Zone Cup
213,20010104,unknown,Race put off
214,20010104,unknown,Basu gives call to stop infighting
215,20010104,unknown,Violence mar Mamata's meeting in Midnapore
216,20010104,unknown,CPT to have new pilot system by Jan 15
217,20010104,unknown,Film industry concerned about piracy
218,20010104,unknown,City drainage system being modernised
219,20010104,unknown,Keeping the Gandhian dream alive
220,20010104,unknown,An archaeologist par excellence
221,20010104,unknown,Education body overshoots self-imposed deadline
222,20010104,unknown,PIL urges to seek flood relief from UN
223,20010104,unknown,Sen urges country to exploit its tourism potential
224,20010104,unknown,CMC to issue notice to builder
225,20010104,unknown,World govt touted as solution to crises
226,20010104,unknown,ASI team digs up part of Fatehpur Sikri
227,20010104,unknown,Lara joins elite club
228,20010104,unknown,Cullinan hits fourth Newlands hundred
229,20010104,unknown,'Cronje case behind low cricket match attendance'
230,20010104,unknown,Indian refusal cost PCB 2.4 cr
231,20010104,unknown,Das ready to face the short-pitch stuff
232,20010104,unknown,Haldipur; Lahiri in good stand
233,20010104,unknown,DU North Zone inter-varsity cricket champions
234,20010104,unknown,Kolkata gears up for Millennium Cup
235,20010104,unknown,Right choice is the key; says Iranian coach
236,20010104,unknown,Rajasthan lose lead and match
237,20010104,unknown,Hockey hopes rest on flowerin talent
238,20010104,unknown,Anand may get Padmabhushan
239,20010104,unknown,Emotion-choked Chennai showers love on Anand
240,20010104,unknown,Close battle for Mahindra Golfer; 2001
241,20010104,unknown,Indian Blues off to a good start
242,20010104,unknown,Ramgarh beat Royal Kashmir in Hanut Cup polo
243,20010104,unknown,Anand may get Padmabhushan
244,20010104,unknown,Cullinan hits fourth Newlands hundred
245,20010104,unknown,Ex-mayor takes up cudgels against Kothrud garbage depot
246,20010104,unknown,India is no IT superpower
247,20010104,unknown,A clean sweep
248,20010104,unknown,The Sphinx can act too
249,20010104,unknown,Giving audio-video education a cutting edge
250,20010104,unknown,Govt orders study of river diversion
251,20010104,unknown,Govt bears burden as VIPs throng Goa
252,20010104,unknown,Goa told to start quick-growth coconut project
253,20010104,unknown,Experts discuss horticulture development
254,20010104,unknown,5 acquitted in trespassing case
255,20010104,unknown,Development of horticulture stressed
256,20010104,unknown,New office-bearers for ICSI
257,20010104,unknown,CM to review security for Premji; Murthy
258,20010104,unknown,Govt allots UKP project to KPC
259,20010104,unknown,Star hotels in city get tech-savvy
260,20010104,unknown,When principals wed
261,20010104,unknown,Misbehaving conductors face action
262,20010104,unknown,Pubs are on the watch for violence
263,20010104,unknown,Celestial show awaits aircraft lovers
264,20010104,unknown,Kannada organisations oppose felicitating Nedumaran
265,20010104,unknown,Civic polls: Minister refutes BJP charges
266,20010104,unknown,Oh; for that black & white magic!
267,20010104,unknown,No clue about kidnapped boy
268,20010104,unknown,New year hash: They paid Rs 18;000; went hungry
269,20010104,unknown,5;000 anganwadis to get buildings
270,20010104,unknown,Cops shoot at sandalwood smugglers; nab one
271,20010104,unknown,Tribute-paying ritual for Patel today
272,20010104,unknown,A life snuffed out needlessly
273,20010104,unknown,PM arriving on a 2-day visit
274,20010104,unknown,'Make mysterious kidnap drama secret public'
275,20010104,unknown,Pollution makes these residents see red
276,20010104,unknown,Behind the walls; it's celebration time
277,20010104,unknown,'Corporate cricket has lot of scope'
278,20010104,unknown,An art gallery for the underprivileged
279,20010104,unknown,Annual Infant Jesus feast from Jan 14
280,20010104,unknown,Ex-Karnataka HC judge visits Bahrain
281,20010105,india,MP best in forest development: Centre
282,20010105,unknown,Light combat craft takes India into club class
283,20010105,unknown,Hawkings' day out
284,20010105,unknown,Light combat craft takes India into club class
285,20010105,unknown,Easy drugs at raves keep Goa hot on tourist circuit
286,20010105,unknown,CM defends grant to Chaturang
287,20010105,unknown,Faleiro vows to fight common cadre proposal
288,20010105,unknown,Sawant questions casino licences
289,20010105,unknown,MPT posts good show in 2000
290,20010105,unknown,Ex-GPCC chief against separate cadre
291,20010105,unknown,Meeting to review anti-defection law
292,20010105,unknown,Telecom team win play contest
293,20010105,unknown,Guala Closures bags ISO 9002 certificate
294,20010105,unknown,Bush names Lindsey top economic aide
295,20010105,unknown,Bush names Lindsey top economic aide
296,20010105,unknown,Indian American boy confesses to parents' murder
297,20010105,unknown,Anti-immigration think-tank berates Clinton regime
298,20010105,unknown,Sikh teacher guilty of assaulting student
299,20010105,unknown,Australia; New Zealand urged to accept Indo-Fijian refugees
300,20010105,unknown,If Rabuka can go free; why not us: Speight partner
301,20010105,unknown,Tailor Sam's famous clientele
